batch,n,rmse,mae,r2,bias,ccc
01,52,269.77250936523984,193.16093804726393,0.16977608511512268,128.54320632588528,0.3409427123991331
04,110,223.45139473261546,164.35586797315463,0.203450414801469,-37.276726155599654,0.443468776201973
05,124,67.5072173796362,47.458943035017974,0.5709956141871972,0.6567422049815876,0.742448970795747
06,66,132.54035357023105,94.84646302236078,0.6429682584418649,-7.24775905935723,0.8009566901453009
