peptide_id,sequence_length,n_trp,n_tyr,n_phe,n_pro,epsilon_214_published,purity,aaa_ratio,aaa_cv,actual_concentration,rt,height,area,conc_u_m,hplc_dilution_factor,batch,aaa_adj,hplc_conc_raw,hplc_df,hplc_adj,diff_adj
PEP-0011,7,0,0,1,0,11100,100.0,0.82775,10.4354274818214,1.6555,12.7013333333333,1019.93399855135,168.156978032086,50.4975910006264,5,1,1655.5,50.4975910006264,5,757.463865009396,-898.036134990604
PEP-0027,7,0,1,0,0,16420,98.366,0.68835,18.9176956704792,1.354204722,,,332.924715611443,67.5852041436142,5,1,1354.204722,67.5852041436142,5,1013.7780621542132,-340.42665984578684
PEP-0079,7,0,0,0,0,5832,1.0,0.55065,16.7441780958725,1.1013,10.2665,253.885526332825,36.1871427156293,20.6830948306066,5,4,1101.3,20.6830948306066,5,310.246422459099,-791.053577540901
PEP-0287,16,0,0,0,0,24909,0.90703,0.541285714,11.75285348,1.082571428,9.7475,1229.58489068514,449.476587996294,60.1491546557863,5,6,1082.571428,60.1491546557863,5,902.2373198367944,-180.33410816320557
PEP-0084,7,0,0,0,0,5926,1.0,0.5253,15.9658570912634,1.0506,10.5546666666667,309.837808398932,43.9339473482323,24.7125364766747,5,4,1050.6,24.7125364766747,5,370.6880471501205,-679.9119528498794
PEP-0080,7,0,0,1,0,11171,0.93433,0.462875,15.3039485383516,0.8649559975,10.4683333333333,430.445640925094,72.4008921366913,21.6038230348495,5,4,864.9559975,21.6038230348495,5,324.05734552274254,-540.8986519772575
PEP-0068,7,0,1,0,0,11236,0.95914,0.448375,14.6506281053215,0.860108795,9.8045,656.678297521779,90.15314361731,26.7453256251661,5,4,860.108795,26.7453256251661,5,401.1798843774915,-458.9289106225085
PEP-0009,7,0,0,1,1,18976,92.488,0.4545,7.96193932793057,0.84071592,11.162,1290.77302201226,177.975403788121,36.3935553622725,5,1,840.71592,36.3935553622725,5,545.9033304340875,-294.8125895659125
PEP-0289,16,0,1,0,0,35205,0.34535,0.4153,16.15480879,0.8306,,,487.951128461922,46.2009305933742,5,6,830.6,46.2009305933742,5,693.013958900613,-137.586041099387
PEP-0077,7,0,1,0,0,11153,0.96733,0.4123125,17.7893558151096,0.79768450125,9.867,584.382691443436,89.6174433760607,26.7842563663172,5,4,797.68450125,26.7842563663172,5,401.763845494758,-395.920655755242
PEP-0349,12,0,0,1,0,15992,0.95412,0.397,17.19,0.794,10.4075,617.080386842596,203.465173604636,42.409782725662,5,6,794.0,42.409782725662,5,636.14674088493,-157.85325911507005
PEP-0081,7,0,0,1,0,10996,0.88536,0.446,11.4046022306813,0.78974112,10.5948333333333,474.147718332957,67.267323950342,20.3914526343949,5,4,789.7411199999999,20.3914526343949,5,305.87178951592347,-483.8693304840765
PEP-0105,7,0,0,1,0,16093,0.96286,0.408375,11.001976000451,0.786415905,11.5921666666667,1094.71976434408,287.33579493931,59.5156890033576,5,4,786.4159050000001,59.5156890033576,5,892.735335050364,106.31943005036396
PEP-0012,7,0,0,0,0,5992,92.434,0.4155,23.4309656782439,0.76812654,10.0653333333333,538.468970147442,102.076654315999,56.7849656853576,5,1,768.12654,56.7849656853576,5,851.7744852803639,83.64794528036396
PEP-0047,8,0,0,0,0,12219,91.509,0.418125,6.8648249762828,0.7652440125,9.43716666666667,536.304457530006,216.842986853386,59.1545917160122,5,1,765.2440124999999,59.1545917160122,5,887.318875740183,122.07486324018303
PEP-0133,7,0,0,1,0,11108,1.0,0.3819375,15.2066296584085,0.763875,10.0695,578.296951115799,143.512615000014,43.0658429360263,5,4,763.875,43.0658429360263,5,645.9876440403945,-117.88735595960554
PEP-0123,9,0,0,2,0,18200,0.89517,0.4262,13.7137495057512,0.763042908,11.1435,1071.66198787808,264.168251250609,48.3824635990126,5,4,763.042908,48.3824635990126,5,725.7369539851891,-37.305954014810936
PEP-0124,11,0,1,1,1,32968,1.0,0.3805,12.6269089872598,0.761,8.70483333333333,1139.44754812282,561.947072677081,61.8346452620607,5,4,761.0,61.8346452620607,5,927.5196789309103,166.51967893091046
PEP-0083,8,0,0,1,0,17044,0.98797,0.3770625,10.3887768550942,0.74505287625,9.76533333333333,474.368162662332,107.404671936922,21.0053727483614,5,4,745.05287625,21.0053727483614,5,315.08059122542096,-429.9722850245791
PEP-0344,13,0,0,1,0,22294,0.95236,0.368833333,13.0,0.737666666,10.8225,778.417923301815,219.077977972687,32.7558951545539,5,6,737.666666,32.7558951545539,5,491.3384273183085,-246.32823868169152
PEP-0290,16,0,0,1,2,35124,0.97898,0.3655,13.44752493,0.731,9.45716666666667,827.561929751491,441.3838987989,49.4149144442467,5,6,731.0,49.4149144442467,5,741.2237166637004,10.22371666370043
PEP-0085,10,0,1,1,1,27112,0.95389,0.38240625,11.456415285288,0.729546995625,10.1401666666667,828.81277026763,172.4907762371,23.5286350257261,5,4,729.546995625,23.5286350257261,5,352.9295253858915,-376.6174702391085
PEP-0104,8,0,0,1,0,12104,0.93186,0.386785714285714,12.3966918783411,0.720860271428571,12.2826666666667,1009.50637509705,178.877306642011,49.261210245101,5,4,720.860271428571,49.261210245101,5,738.918153676515,18.057882247944008
PEP-0025,7,0,0,0,0,5904,100.0,0.3573,14.3242548885302,0.7146,10.168,501.328651874127,94.1966495047236,53.1823901901104,5,1,714.6,53.1823901901104,5,797.735852851656,83.13585285165595
PEP-0010,7,0,0,1,0,10995,100.0,0.3556875,13.6113144753649,0.711375,8.91333333333333,634.90965559901,168.382270343747,51.0481341045164,5,1,711.375,51.0481341045164,5,765.722011567746,54.347011567746
PEP-0292,16,0,1,1,2,35374,1.0,0.354875,68.91321032,0.70975,10.8076666666667,781.711331281505,191.646445986757,21.2770279317387,5,6,709.75,21.2770279317387,5,319.1554189760805,-390.5945810239195
PEP-0087,8,0,0,0,0,6783,0.89398,0.394125,21.2866834508926,0.704679735,10.1391666666667,324.86991143867,48.720452200032,23.9424306845703,5,4,704.679735,23.9424306845703,5,359.1364602685545,-345.54327473144554
PEP-0069,11,0,0,0,1,17593,0.96736,0.3623125,9.12753603694695,0.70097324,8.4055,402.081144822703,130.827124385003,29.2324986336424,5,4,700.97324,29.2324986336424,5,438.487479504636,-262.48576049536405
PEP-0082,12,0,0,0,0,16000,1.0,0.347333333333333,14.2483492839885,0.694666666666667,9.12416666666667,389.095123740804,106.143909666964,22.1133145139508,5,4,694.666666666667,22.1133145139508,5,331.699717709262,-362.96694895740495
PEP-0007,7,0,1,0,0,11278,84.388,0.40605,22.284340634689,0.685314948,10.8076666666667,1074.97824845581,234.490649536398,69.3062155040485,5,1,685.3149480000001,69.3062155040485,5,1039.5932325607275,354.27828456072746
PEP-0091,7,0,1,0,0,16242,0.90198,0.37625,13.8044244746304,0.67873995,9.61066666666667,415.311952265669,117.686610072866,24.1527336684451,5,4,678.73995,24.1527336684451,5,362.2910050266765,-316.4489449733235
PEP-0065,7,0,0,0,0,11055,0.6909,0.484125,14.5846690285346,0.668963925,7.45416666666667,218.298353991,96.0719624409467,28.9678765086527,5,4,668.963925,28.9678765086527,5,434.5181476297905,-234.4457773702095
PEP-0013,7,0,1,0,0,11203,89.574,0.3705,19.3211174072712,0.66374334,11.339,813.501952052133,139.659845451271,41.5542995778724,5,1,663.74334,41.5542995778724,5,623.314493668086,-40.42884633191397
PEP-0071,11,0,2,0,0,20571,0.88951,0.3721,14.8781953195403,0.661973342,9.95483333333333,867.973163740322,127.590688560376,20.6748478538357,5,4,661.973342,20.6748478538357,5,310.12271780753554,-351.85062419246447
PEP-0093,9,0,0,1,1,15729,0.75863,0.432857142857143,20.3914931329294,0.656756828571429,10.7445,602.143960344901,80.7644906684072,20.6231782514701,5,4,656.7568285714291,20.6231782514701,5,309.3476737720515,-347.4091547993776
PEP-0024,7,0,0,0,1,8540,91.768,0.356625,10.8797666410072,0.65453526,11.5286666666667,1119.56823927077,99.1321830688976,56.341110013582,5,1,654.53526,56.341110013582,5,845.11665020373,190.58139020373005
PEP-0108,8,0,0,1,1,14728,0.95821,0.3402,14.3946099460335,0.651966084,11.6933333333333,993.980038016479,251.520337546332,69.5595391317048,5,4,651.966084,69.5595391317048,5,1043.393086975572,391.427002975572
PEP-0114,8,0,0,1,0,12013,0.9149,0.354375,9.49861452784277,0.648435375,12.092,831.586437346963,198.03415930568,54.9499595731513,5,4,648.435375,54.9499595731513,5,824.2493935972694,175.8140185972694
PEP-0088,8,0,0,1,0,12156,0.94247,0.342964285714286,18.0385704516138,0.646467100714286,10.1861666666667,485.320695020419,59.1723018862031,16.2258149298572,5,4,646.4671007142861,16.2258149298572,5,243.387223947858,-403.079876766428
PEP-0112,9,0,1,1,0,18306,0.98943,0.32446875,11.7544184832185,0.642078230625,12.0971666666667,1197.53218912022,233.12968110459,42.4505045894953,5,4,642.0782306250001,42.4505045894953,5,636.7575688424296,-5.3206617825704825
PEP-0291,15,0,0,1,3,26806,0.65187,0.32015625,11.38408631,0.6403125,,,386.870927352458,68.6635300485346,5,6,640.3125,68.6635300485346,5,1029.952950728019,389.640450728019
PEP-0030,7,0,0,1,0,16212,94.298,0.335,8.03811370896294,0.6317966,9.067,816.038479504246,226.83670003587,46.639670210517,5,1,631.7966,46.639670210517,5,699.5950531577549,67.79845315775492
PEP-0138,8,0,0,2,0,17066,0.95128,0.3309,10.7361084589725,0.629557104,10.8811666666667,781.546433100821,278.913989237713,54.4775165509812,5,4,629.557104,54.4775165509812,5,817.162748264718,187.605644264718
